date,gross,turnover,cost,net,n_names
2017-05-31,0.020991202928325136,0.6000000000000001,0.0006000000000000001,0.020391202928325136,50
2017-06-30,0.002173590891823185,0.6000000000000001,0.0006000000000000001,0.001573590891823185,50
2017-07-31,0.0032481913544756182,0.6000000000000001,0.0006000000000000001,0.0026481913544756184,50
2017-08-31,0.026944412197019308,0.4,0.0004,0.026544412197019307,50
2017-09-30,-0.060485988039757084,0.4,0.0004,-0.06088598803975708,50
2017-10-31,0.010166372325785112,0.4,0.0004,0.009766372325785113,50
2017-11-30,0.008996989319670636,0.8,0.0008,0.008196989319670635,50
2017-12-31,0.034516469764643024,0.8,0.0008,0.03371646976464302,50
2018-01-31,-0.010912863524392238,0.8,0.0008,-0.011712863524392238,50
2018-02-28,-0.0037287762277792205,0.6000000000000001,0.0006000000000000001,-0.00432877622777922,50
2018-03-31,0.005861592209034485,0.6000000000000001,0.0006000000000000001,0.005261592209034485,50
2018-04-30,0.005391989369575459,0.8,0.0008,0.004591989369575458,50
2018-05-31,0.010562841752465192,0.4,0.0004,0.010162841752465193,50
2018-06-30,-0.009495151785707834,1.0,0.001,-0.010495151785707833,50
2018-07-31,0.0036877119920055122,0.6000000000000001,0.0006000000000000001,0.0030877119920055124,50
2018-08-31,-0.006470684517936009,0.8,0.0008,-0.0072706845179360095,50
2018-09-30,-0.007976870979188038,0.8,0.0008,-0.008776870979188039,50
2018-10-31,0.05034697356775219,1.0,0.001,0.04934697356775219,50
2018-11-30,-0.009768041460395527,0.8,0.0008,-0.010568041460395527,50
2018-12-31,0.004194348345601773,0.6000000000000001,0.0006000000000000001,0.0035943483456017736,50
2019-01-31,0.01538867558192485,1.0,0.001,0.014388675581924849,50
2019-02-28,-0.02234192180195683,1.0,0.001,-0.023341921801956832,50
2019-03-31,0.001896863031612992,0.8,0.0008,0.0010968630316129922,50
2019-04-30,-0.025555990900051104,1.0,0.001,-0.026555990900051105,50
2019-05-31,0.038320320935542516,1.2000000000000002,0.0012000000000000001,0.03712032093554252,50
2019-06-30,-0.026540060524926908,1.4000000000000001,0.0014000000000000002,-0.02794006052492691,50
2019-07-31,-0.019786311735142805,1.0,0.001,-0.020786311735142806,50
2019-08-31,0.026847306408061433,1.0,0.001,0.025847306408061432,50
2019-09-30,0.011626586339993673,1.2000000000000002,0.0012000000000000001,0.010426586339993674,50
2019-10-31,0.015651288313772417,1.0,0.001,0.014651288313772416,50
2019-11-30,-0.0001498329902637645,1.0000000000000002,0.0010000000000000002,-0.0011498329902637648,50
2019-12-31,-0.06345988183136919,0.8,0.0008,-0.06425988183136919,50
2020-01-31,0.02244823853785982,0.4,0.0004,0.02204823853785982,50
2020-02-29,-0.011652659907976875,0.8,0.0008,-0.012452659907976876,50
2020-03-31,0.026167975456130834,1.2000000000000002,0.0012000000000000001,0.024967975456130834,50
2020-04-30,0.014412417393719136,0.8,0.0008,0.013612417393719135,50
2020-05-31,-0.03392835836539394,0.6,0.0006,-0.034528358365393946,50
2020-06-30,-0.029048404894288664,0.2,0.0002,-0.029248404894288663,50
2020-07-31,-0.02640895527785114,0.6,0.0006,-0.02700895527785114,50
2020-08-31,-0.012413440802178457,0.2,0.0002,-0.012613440802178457,50
2020-09-30,-0.006259767447392806,0.2,0.0002,-0.006459767447392806,50
2020-10-31,0.09021580191806405,0.2,0.0002,0.09001580191806405,50
2020-11-30,-0.006600347182340128,0.6000000000000001,0.0006000000000000001,-0.0072003471823401275,50
2020-12-31,-0.0036514508789069478,0.2,0.0002,-0.003851450878906948,50
2021-01-31,0.07460228585609202,0.2,0.0002,0.07440228585609202,50
2021-02-28,0.023331505736589177,0.2,0.0002,0.02313150573658918,50
2021-03-31,0.01413383571565281,0.8,0.0008,0.01333383571565281,50
2021-04-30,0.01847982961769772,0.4,0.0004,0.018079829617697718,50
2021-05-31,0.007078780778592485,0.6000000000000001,0.0006000000000000001,0.006478780778592486,50
2021-06-30,-0.017954736457043964,0.4,0.0004,-0.018354736457043965,50
2021-07-31,-0.004704723704889047,0.6,0.0006,-0.005304723704889047,50
2021-08-31,0.0451477450370828,0.6000000000000001,0.0006000000000000001,0.044547745037082795,50
2021-09-30,0.008015205204065422,1.0000000000000002,0.0010000000000000002,0.007015205204065422,50
2021-10-31,-0.010833494671043609,1.0000000000000002,0.0010000000000000002,-0.01183349467104361,50
2021-11-30,-0.009455401619767111,0.7999999999999999,0.0007999999999999999,-0.010255401619767112,50
2021-12-31,-0.0035186968394695928,1.0,0.001,-0.004518696839469593,50
2022-01-31,-0.023642486067639683,0.6,0.0006,-0.024242486067639683,50
2022-02-28,0.004672529613561353,0.4,0.0004,0.0042725296135613525,50
2022-03-31,-0.046027587926786795,0.6000000000000001,0.0006000000000000001,-0.0466275879267868,50
2022-04-30,-0.0008095113708708633,0.8,0.0008,-0.0016095113708708632,50
2022-05-31,-0.04491425388805645,0.8,0.0008,-0.04571425388805645,50
2022-06-30,0.06538596955966099,0.2,0.0002,0.06518596955966098,50
2022-07-31,-0.006690478273803039,0.4,0.0004,-0.007090478273803039,50
2022-08-31,-0.06582790561966811,0.4,0.0004,-0.06622790561966811,50
2022-09-30,0.013413852254410623,0.4,0.0004,0.013013852254410624,50
2022-10-31,0.03597164955359162,0.4,0.0004,0.03557164955359162,50
2022-11-30,-0.014824717654439296,1.0,0.001,-0.015824717654439296,50
2022-12-31,0.09292545700111421,1.0,0.001,0.09192545700111421,50
2023-01-31,-0.024624836766573822,0.8,0.0008,-0.02542483676657382,50
2023-02-28,0.056166910918159965,0.4,0.0004,0.05576691091815997,50
2023-03-31,-0.02589788088291485,0.6000000000000001,0.0006000000000000001,-0.02649788088291485,50
2023-04-30,0.023506297504447462,0.6000000000000001,0.0006000000000000001,0.022906297504447462,50
2023-05-31,0.0014268431113020983,0.8,0.0008,0.0006268431113020983,50
2023-06-30,0.004479497719059055,0.8,0.0008,0.0036794977190590552,50
2023-07-31,-0.005373810746938112,1.0,0.001,-0.006373810746938112,50
2023-08-31,0.021530018390090135,1.0,0.001,0.020530018390090134,50
2023-09-30,0.013415374024831329,0.8,0.0008,0.012615374024831328,50
2023-10-31,0.058268921791729704,0.8,0.0008,0.0574689217917297,50
2023-11-30,0.02810767450124526,1.4000000000000001,0.0014000000000000002,0.02670767450124526,50
2023-12-31,-0.0043883817714756475,0.7999999999999999,0.0007999999999999999,-0.005188381771475648,50
2024-01-31,-0.014356985819045855,1.0,0.001,-0.015356985819045856,50
2024-02-29,0.0433400167963264,0.6000000000000001,0.0006000000000000001,0.0427400167963264,50
2024-03-31,-0.028025416905303226,1.0,0.001,-0.029025416905303227,50
2024-04-30,-0.04570101781244787,0.6000000000000001,0.0006000000000000001,-0.04630101781244787,50
2024-05-31,0.006448199222459008,0.4,0.0004,0.006048199222459008,50
2024-06-30,0.0007558170059458584,0.6000000000000001,0.0006000000000000001,0.00015581700594585832,50
2024-07-31,-0.04546573696927051,0.6,0.0006,-0.046065736969270514,50
2024-08-31,0.046432913890050706,0.4,0.0004,0.04603291389005071,50
2024-09-30,-0.018616091252607925,0.6000000000000001,0.0006000000000000001,-0.019216091252607925,50
2024-10-31,-0.01527178603708188,0.4,0.0004,-0.01567178603708188,50
2024-11-30,-0.06787169086242564,0.2,0.0002,-0.06807169086242565,50
